Date,Open,High,Low,Close,Volume
18-Oct-02,52.60,53.20,51.14,53.15,76408600
17-Oct-02,52.28,52.50,50.05,50.77,91301200
16-Oct-02,50.39,51.26,50.28,50.41,47718700
15-Oct-02,51.26,52.37,50.65,52.29,66687100
14-Oct-02,48.25,49.33,47.84,49.29,38108100
11-Oct-02,47.36,48.90,47.01,48.87,54414400
10-Oct-02,44.00,46.62,43.25,46.38,59257500
9-Oct-02,44.23,45.45,43.81,43.99,61571300
8-Oct-02,44.75,45.98,44.13,44.99,57833800
7-Oct-02,43.81,45.06,43.69,44.05,44895000
4-Oct-02,45.39,45.57,43.69,43.77,53560200
3-Oct-02,45.30,46.59,44.60,44.80,52610700
2-Oct-02,46.10,46.81,45.16,45.61,51744300
1-Oct-02,44.32,46.25,43.19,46.23,55318300
30-Sep-02,44.87,45.04,43.11,43.74,57788500
27-Sep-02,46.04,47.10,45.19,45.25,40505800
26-Sep-02,47.11,47.50,45.95,46.20,50426100
25-Sep-02,46.40,46.96,45.05,46.51,53558300
24-Sep-02,44.83,46.48,44.63,45.64,52071100
23-Sep-02,46.60,46.71,44.81,45.23,44891900
20-Sep-02,47.71,48.00,47.30,47.46,65309600
19-Sep-02,46.68,47.82,46.59,47.20,38888800
18-Sep-02,46.72,48.24,46.66,47.75,41975900
17-Sep-02,48.67,48.90,47.21,47.29,36671700
16-Sep-02,47.60,48.13,47.05,47.78,25083100
13-Sep-02,46.90,48.26,46.85,47.91,29774600
12-Sep-02,48.15,48.30,47.02,47.15,31863400
11-Sep-02,50.23,51.10,48.53,48.58,38721600
10-Sep-02,48.54,49.82,48.35,49.79,41975000
9-Sep-02,47.25,48.95,46.63,48.70,40826600
6-Sep-02,47.75,48.27,47.47,47.82,34959200
5-Sep-02,47.50,47.52,45.88,45.91,45219400
4-Sep-02,47.45,48.60,47.15,48.21,40116000
3-Sep-02,48.52,48.52,47.00,47.02,37226300
30-Aug-02,50.14,50.48,49.00,49.08,29069200
29-Aug-02,48.89,51.00,48.52,50.58,47137800
28-Aug-02,50.48,50.66,49.30,49.38,34437500
27-Aug-02,52.33,52.45,50.65,50.84,32735100
26-Aug-02,52.50,52.65,51.18,52.10,27826200
23-Aug-02,52.66,52.85,51.84,52.22,28964600
22-Aug-02,52.85,53.45,52.60,53.23,36258800
21-Aug-02,51.56,52.38,51.15,52.28,40601700
20-Aug-02,51.38,51.70,50.75,51.04,35158800
19-Aug-02,50.04,52.05,49.85,52.00,39924100
16-Aug-02,49.43,50.23,48.92,50.00,34667000
15-Aug-02,49.96,50.74,48.75,49.77,49372800
14-Aug-02,47.25,49.73,47.21,49.71,48353000
13-Aug-02,47.99,49.70,46.92,47.06,50061400
12-Aug-02,47.61,48.75,47.60,48.47,28433300
9-Aug-02,48.15,49.15,47.66,48.12,34524700
8-Aug-02,47.11,49.00,46.41,48.91,44374000
7-Aug-02,47.00,47.30,45.16,47.09,43174700
6-Aug-02,44.90,47.25,44.84,45.67,44357900
5-Aug-02,44.29,45.17,43.81,43.99,39470800
2-Aug-02,45.51,45.85,43.80,44.41,42973800
1-Aug-02,47.58,48.09,45.50,45.75,46001400
31-Jul-02,47.61,48.00,46.36,47.98,46937800
30-Jul-02,47.55,48.83,47.33,48.10,61345300
29-Jul-02,46.85,48.30,46.55,48.25,56074300
26-Jul-02,43.74,45.41,43.68,45.35,61769000
25-Jul-02,45.45,45.71,42.44,42.83,81705700
24-Jul-02,41.75,46.36,41.41,46.23,101153900
23-Jul-02,46.49,46.80,42.97,43.01,84030800
22-Jul-02,48.95,49.99,45.90,47.51,90034900
19-Jul-02,49.87,50.89,48.81,49.56,56271700
18-Jul-02,52.06,52.74,50.66,51.11,45526800
17-Jul-02,52.52,53.30,51.17,52.00,49017400
16-Jul-02,51.31,52.80,50.64,51.25,48577300
15-Jul-02,51.39,51.86,48.00,51.80,68482800
12-Jul-02,53.37,53.73,51.48,51.86,47866900
11-Jul-02,52.04,53.07,51.25,52.91,64775300
10-Jul-02,53.69,54.20,52.13,52.24,45336700
9-Jul-02,53.31,54.73,52.97,53.21,42638600
8-Jul-02,54.41,54.93,52.58,52.92,31599700
5-Jul-02,53.09,54.90,53.05,54.85,17836800
3-Jul-02,51.24,52.52,50.45,51.84,40468300
2-Jul-02,52.38,52.92,51.33,51.44,41407100
1-Jul-02,54.12,54.39,52.58,52.66,33236900
28-Jun-02,54.55,55.79,54.00,54.70,44777800
27-Jun-02,54.60,54.94,52.86,54.92,47906200
26-Jun-02,51.05,54.39,51.05,54.13,56065700
25-Jun-02,54.70,55.00,52.80,52.95,42012600
24-Jun-02,52.09,54.64,51.85,54.16,52261600
21-Jun-02,53.40,54.55,52.28,52.28,58410000
20-Jun-02,54.37,55.10,53.90,54.10,43200600
19-Jun-02,55.47,55.94,54.32,54.36,40623500
18-Jun-02,55.53,56.29,55.35,55.99,38759200
17-Jun-02,55.66,56.44,55.37,55.68,47243300
14-Jun-02,53.15,55.55,53.00,55.25,54716800
13-Jun-02,54.84,55.48,54.20,54.22,39885800
12-Jun-02,52.58,55.78,52.50,55.54,68099300
11-Jun-02,53.24,54.18,52.42,52.57,37184100
10-Jun-02,51.65,53.30,51.46,52.82,35912700
7-Jun-02,49.89,52.60,49.86,51.98,48917200
6-Jun-02,51.50,52.14,50.00,51.90,39351700
5-Jun-02,50.43,51.75,50.33,51.66,33484700
4-Jun-02,49.50,51.23,49.24,49.98,44004200
3-Jun-02,50.99,51.64,49.17,49.42,44219500
31-May-02,52.90,53.42,50.88,50.91,33234000
30-May-02,51.64,53.36,51.43,52.64,31606500
29-May-02,51.65,52.72,51.55,52.05,22696600
28-May-02,53.59,53.69,51.75,52.32,24801000
24-May-02,54.14,54.52,53.04,53.26,17991000
23-May-02,53.70,54.84,53.01,54.82,25706400
22-May-02,51.87,53.72,51.85,53.69,27084700
21-May-02,53.95,54.60,52.13,52.19,31560000
20-May-02,55.50,55.55,53.50,54.01,26057900
17-May-02,56.21,56.40,55.27,56.03,27323100
16-May-02,54.71,56.03,54.65,55.74,26703200
15-May-02,54.49,56.44,53.86,54.75,35206000
14-May-02,54.40,55.10,53.98,54.88,32416200
13-May-02,50.45,52.91,49.75,52.69,32409500
10-May-02,52.53,52.67,49.99,50.05,32204400
9-May-02,54.40,55.00,51.90,52.12,41644100
8-May-02,51.27,54.97,51.22,54.97,50621000
7-May-02,49.18,50.29,48.35,49.47,44192700
6-May-02,49.44,50.54,48.37,48.62,33149700
3-May-02,51.26,51.68,49.51,49.56,35814000
2-May-02,52.64,54.07,51.15,51.21,39504600
1-May-02,52.16,53.19,50.66,52.75,38206500
30-Apr-02,52.10,53.30,51.92,52.26,38692000
29-Apr-02,51.47,52.91,51.44,52.24,35123000
26-Apr-02,54.07,54.45,51.46,51.50,31388300
25-Apr-02,52.90,54.45,52.88,53.73,28645200
24-Apr-02,53.85,54.43,53.00,53.02,30610200
23-Apr-02,55.70,55.82,53.30,53.99,34140700
22-Apr-02,56.52,56.70,55.00,55.59,25732600
19-Apr-02,57.44,57.98,56.86,57.20,52134300
18-Apr-02,56.79,57.31,52.68,56.37,37397400
17-Apr-02,57.95,58.28,56.42,56.63,27579300
16-Apr-02,56.40,58.10,56.36,57.81,25960800
15-Apr-02,56.00,56.75,55.40,55.69,23694400
12-Apr-02,55.15,56.26,54.86,55.93,26148800
11-Apr-02,55.89,56.45,54.50,54.79,29082900
10-Apr-02,55.12,57.11,55.06,56.30,37818200
9-Apr-02,57.33,57.43,54.80,54.87,31706500
8-Apr-02,54.30,57.31,54.26,57.22,36694800
5-Apr-02,56.89,57.30,55.84,55.87,25083000
4-Apr-02,55.98,56.97,55.42,56.45,30881900
3-Apr-02,57.44,57.61,55.50,56.33,38465700
2-Apr-02,58.90,59.09,57.11,57.28,38254700
1-Apr-02,59.83,60.40,59.20,60.38,23505000
28-Mar-02,59.95,60.65,59.66,60.31,21950600
27-Mar-02,58.80,59.88,58.59,59.44,23659200
26-Mar-02,59.10,60.92,58.31,59.08,34678600
25-Mar-02,60.48,60.78,59.15,59.23,23876200
22-Mar-02,61.05,61.14,60.22,60.45,20670700
21-Mar-02,60.21,61.59,59.83,61.36,23061700
20-Mar-02,61.40,62.02,60.10,60.10,27617600
19-Mar-02,62.18,63.00,61.50,62.23,18188200
18-Mar-02,62.74,62.99,61.20,62.14,26148400
15-Mar-02,61.00,62.51,60.97,62.49,34543400
14-Mar-02,62.14,62.24,61.05,61.22,25909800
13-Mar-02,62.08,63.02,61.95,62.10,22193700
12-Mar-02,62.52,62.80,61.67,62.54,33203600
11-Mar-02,63.51,65.00,63.00,64.34,21859100
8-Mar-02,63.63,64.70,63.17,63.95,28850900
7-Mar-02,63.67,63.88,61.86,62.72,29039600
6-Mar-02,62.91,63.70,62.19,63.63,24917700
5-Mar-02,63.00,63.88,62.34,63.08,27963200
4-Mar-02,61.24,63.50,60.87,63.30,37232100
1-Mar-02,59.05,61.42,58.85,61.37,31057800
28-Feb-02,58.78,59.70,58.14,58.34,34034000
27-Feb-02,59.07,60.15,57.99,58.39,32875000
26-Feb-02,59.10,60.00,57.90,58.55,31638100
25-Feb-02,57.94,59.89,57.89,59.08,25916100
22-Feb-02,58.05,58.75,57.15,57.99,35673900
21-Feb-02,59.72,60.27,58.01,58.05,29699200
20-Feb-02,59.40,60.36,58.80,59.90,25246000
19-Feb-02,59.91,60.14,58.60,58.93,26131300
15-Feb-02,61.70,62.06,60.20,60.23,25089900
14-Feb-02,62.00,62.99,61.32,61.68,28633500
13-Feb-02,60.26,61.88,59.95,61.82,27084300
12-Feb-02,60.49,60.85,60.02,60.14,22486900
11-Feb-02,60.01,61.24,59.59,61.13,25449800
8-Feb-02,60.12,60.66,58.83,60.65,30641500
7-Feb-02,60.30,61.61,59.75,59.80,31657000
6-Feb-02,61.61,61.89,60.25,60.40,33051500
5-Feb-02,60.80,62.23,60.50,61.15,33386300
4-Feb-02,62.40,62.69,60.75,61.12,35154200
1-Feb-02,64.15,64.50,62.47,62.66,31731100
31-Jan-02,63.06,63.81,62.12,63.71,34783100
30-Jan-02,62.45,62.90,61.33,62.85,33050000
29-Jan-02,63.90,64.50,61.99,62.32,29333000
28-Jan-02,64.23,64.40,62.91,63.82,20811000
25-Jan-02,64.19,64.85,63.51,63.80,24490600
24-Jan-02,64.10,65.18,63.80,64.60,41943000
23-Jan-02,64.05,64.71,63.24,63.74,40201500
22-Jan-02,66.61,66.63,64.25,64.46,38418600
18-Jan-02,67.10,67.85,65.42,66.10,53570200
17-Jan-02,68.53,70.00,68.40,69.86,39479000
16-Jan-02,68.85,69.84,67.85,67.87,30977700
15-Jan-02,68.66,69.62,68.50,69.55,30358700
14-Jan-02,68.30,69.04,67.74,68.47,25498900
11-Jan-02,69.52,70.32,68.10,68.61,36496600
10-Jan-02,68.48,69.80,68.13,69.28,25148300
9-Jan-02,69.72,70.62,68.55,68.71,38152000
8-Jan-02,68.69,69.86,68.00,69.38,23868200
7-Jan-02,69.75,70.02,68.35,68.56,29254400
4-Jan-02,69.25,69.91,68.67,68.90,26365700
3-Jan-02,67.11,69.25,67.09,69.23,33795400
2-Jan-02,66.65,67.11,65.51,67.04,24062000
31-Dec-01,67.84,68.48,66.25,66.25,21503100
28-Dec-01,68.23,68.85,67.70,67.87,14393600
27-Dec-01,67.98,68.71,67.26,67.85,16203300
26-Dec-01,67.42,69.07,67.39,67.68,14664000
24-Dec-01,67.72,68.03,67.20,67.27,5850800
21-Dec-01,68.01,68.02,67.00,67.54,42153800
20-Dec-01,69.15,69.25,66.62,66.76,39292500
19-Dec-01,68.62,69.89,68.45,69.49,28498100
18-Dec-01,68.92,69.40,68.60,69.27,23627600
17-Dec-01,67.17,69.11,67.16,68.98,28539900
14-Dec-01,66.02,67.95,65.93,67.44,21500300
13-Dec-01,67.13,68.24,66.07,66.27,26613900
12-Dec-01,67.16,67.98,66.25,67.95,23942100
11-Dec-01,67.66,68.13,67.07,67.32,27167000
10-Dec-01,67.52,68.45,66.86,67.06,19183700
7-Dec-01,68.25,68.84,66.55,67.83,21167400
6-Dec-01,67.98,69.00,67.55,68.65,28013100
5-Dec-01,66.49,68.17,65.20,68.10,37121500
4-Dec-01,65.00,66.08,64.10,66.00,25502900
3-Dec-01,63.83,65.23,63.80,64.77,23605900
30-Nov-01,64.66,65.08,63.93,64.21,24117100
29-Nov-01,63.12,64.90,62.95,64.84,27017200
28-Nov-01,63.17,64.12,62.73,62.80,27268300
27-Nov-01,64.79,65.07,62.75,63.74,45409500
26-Nov-01,64.99,65.71,64.40,65.14,20991800
23-Nov-01,64.38,64.81,63.62,64.71,7877300
21-Nov-01,64.36,64.60,63.48,64.05,25392600
20-Nov-01,66.45,67.80,65.03,65.40,32960900
19-Nov-01,66.25,66.97,65.70,66.54,28002500
16-Nov-01,66.36,66.61,64.95,65.75,29624500
15-Nov-01,66.10,67.05,65.45,66.12,38961000
14-Nov-01,68.23,68.34,65.79,65.95,44312800
13-Nov-01,66.80,67.95,66.60,67.90,30079800
12-Nov-01,64.70,66.44,63.65,65.79,28876400
9-Nov-01,64.34,65.65,63.91,65.21,24006800
8-Nov-01,64.46,66.06,63.66,64.42,37113900
7-Nov-01,64.22,65.05,64.03,64.25,29449500
6-Nov-01,62.70,64.94,62.16,64.78,34306000
5-Nov-01,61.86,64.03,61.75,63.27,33200800
2-Nov-01,61.93,63.02,60.51,61.40,41680000
1-Nov-01,60.08,62.25,59.60,61.84,54835600
31-Oct-01,59.30,60.73,58.10,58.15,32350000
30-Oct-01,58.92,59.54,58.19,58.88,28697800
29-Oct-01,62.10,62.20,59.54,59.64,27564700
26-Oct-01,62.32,63.63,62.08,62.20,32254700
25-Oct-01,60.61,62.60,59.57,62.56,37659100
24-Oct-01,60.50,61.62,59.62,61.32,39570700
23-Oct-01,60.47,61.44,59.40,60.43,40162500
22-Oct-01,57.90,60.18,57.47,60.16,36161800
19-Oct-01,57.40,58.01,55.63,57.90,45609800
18-Oct-01,56.34,57.58,55.50,56.75,39174000

